,DateTime,Area,Building,Loop,Type,Usage,Date,Weekday,DayName,Time,Week
57,2018/03/14 09:00,N,EB1,main,edu,29.13,2018-03-14,3,Wednesday,09:00,11
58,2018/03/14 10:00,N,EB1,main,edu,30.38,2018-03-14,3,Wednesday,10:00,11
59,2018/03/14 11:00,N,EB1,main,edu,30.5,2018-03-14,3,Wednesday,11:00,11
60,2018/03/14 12:00,N,EB1,main,edu,32.5,2018-03-14,3,Wednesday,12:00,11
61,2018/03/14 13:00,N,EB1,main,edu,31.63,2018-03-14,3,Wednesday,13:00,11
62,2018/03/14 14:00,N,EB1,main,edu,35.88,2018-03-14,3,Wednesday,14:00,11
63,2018/03/14 15:00,N,EB1,main,edu,37.0,2018-03-14,3,Wednesday,15:00,11
64,2018/03/14 16:00,N,EB1,main,edu,34.88,2018-03-14,3,Wednesday,16:00,11
65,2018/03/14 17:00,N,EB1,main,edu,33.75,2018-03-14,3,Wednesday,17:00,11
66,2018/03/14 18:00,N,EB1,main,edu,28.75,2018-03-14,3,Wednesday,18:00,11
67,2018/03/14 19:00,N,EB1,main,edu,26.88,2018-03-14,3,Wednesday,19:00,11
68,2018/03/14 20:00,N,EB1,main,edu,27.25,2018-03-14,3,Wednesday,20:00,11
69,2018/03/14 21:00,N,EB1,main,edu,26.63,2018-03-14,3,Wednesday,21:00,11
70,2018/03/14 22:00,N,EB1,main,edu,22.25,2018-03-14,3,Wednesday,22:00,11
71,2018/03/14 23:00,N,EB1,main,edu,21.38,2018-03-14,3,Wednesday,23:00,11
72,2018/03/15 00:00,N,EB1,main,edu,22.0,2018-03-15,4,Thursday,00:00,11
73,2018/03/15 01:00,N,EB1,main,edu,21.38,2018-03-15,4,Thursday,01:00,11
74,2018/03/15 02:00,N,EB1,main,edu,20.75,2018-03-15,4,Thursday,02:00,11
75,2018/03/15 03:00,N,EB1,main,edu,21.25,2018-03-15,4,Thursday,03:00,11
76,2018/03/15 04:00,N,EB1,main,edu,21.0,2018-03-15,4,Thursday,04:00,11
77,2018/03/15 05:00,N,EB1,main,edu,20.88,2018-03-15,4,Thursday,05:00,11
78,2018/03/15 06:00,N,EB1,main,edu,20.38,2018-03-15,4,Thursday,06:00,11
79,2018/03/15 07:00,N,EB1,main,edu,21.63,2018-03-15,4,Thursday,07:00,11
80,2018/03/15 08:00,N,EB1,main,edu,24.75,2018-03-15,4,Thursday,08:00,11
81,2018/03/15 09:00,N,EB1,main,edu,32.38,2018-03-15,4,Thursday,09:00,11
82,2018/03/15 10:00,N,EB1,main,edu,34.88,2018-03-15,4,Thursday,10:00,11
83,2018/03/15 11:00,N,EB1,main,edu,37.13,2018-03-15,4,Thursday,11:00,11
84,2018/03/15 12:00,N,EB1,main,edu,33.38,2018-03-15,4,Thursday,12:00,11
85,2018/03/15 13:00,N,EB1,main,edu,35.0,2018-03-15,4,Thursday,13:00,11
86,2018/03/15 14:00,N,EB1,main,edu,38.0,2018-03-15,4,Thursday,14:00,11
87,2018/03/15 15:00,N,EB1,main,edu,37.0,2018-03-15,4,Thursday,15:00,11
88,2018/03/15 16:00,N,EB1,main,edu,36.25,2018-03-15,4,Thursday,16:00,11
89,2018/03/15 17:00,N,EB1,main,edu,32.38,2018-03-15,4,Thursday,17:00,11
