時  間,區 域,館 舍 別,迴 路 別,用電別,用電量(單位:度)
2018/03/12 00:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,15.38
2018/03/12 01:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,15.63
2018/03/12 02:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,15.00
2018/03/12 03:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,15.00
2018/03/12 04:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,15.25
2018/03/12 05:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,15.25
2018/03/12 06:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,15.13
2018/03/12 07:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,17.88
2018/03/12 08:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,18.75
2018/03/12 09:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,24.25
2018/03/12 10:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,27.00
2018/03/12 11:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,26.63
2018/03/12 12:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,27.75
2018/03/12 13:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,29.88
2018/03/12 14:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,31.75
2018/03/12 15:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,35.13
2018/03/12 16:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,34.13
2018/03/12 17:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,30.75
2018/03/12 18:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,29.50
2018/03/12 19:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,24.25
2018/03/12 20:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,23.63
2018/03/12 21:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,20.63
2018/03/12 22:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,17.25
2018/03/12 23:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,16.25
2018/03/13 00:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,16.25
2018/03/13 01:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,16.13
2018/03/13 02:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,16.00
2018/03/13 03:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,15.63
2018/03/13 04:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,15.38
2018/03/13 05:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,15.13
2018/03/13 06:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,15.25
2018/03/13 07:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,17.00
2018/03/13 08:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,18.63
2018/03/13 09:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,27.50
2018/03/13 10:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,31.00
2018/03/13 11:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,33.63
2018/03/13 12:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,32.13
2018/03/13 13:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,32.88
2018/03/13 14:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,38.00
2018/03/13 15:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,39.00
2018/03/13 16:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,38.00
2018/03/13 17:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,36.50
2018/03/13 18:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,34.75
2018/03/13 19:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,33.50
2018/03/13 20:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,33.00
2018/03/13 21:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,27.13
2018/03/13 22:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,21.13
2018/03/13 23:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,21.25
2018/03/14 00:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,21.13
2018/03/14 01:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,20.00
2018/03/14 02:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,19.88
2018/03/14 03:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,19.38
2018/03/14 04:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,19.00
2018/03/14 05:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,18.88
2018/03/14 06:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,18.25
2018/03/14 07:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,20.50
2018/03/14 08:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,22.63
2018/03/14 09:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,29.13
2018/03/14 10:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,30.38
2018/03/14 11:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,30.50
2018/03/14 12:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,32.50
2018/03/14 13:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,31.63
2018/03/14 14:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,35.88
2018/03/14 15:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,37.00
2018/03/14 16:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,34.88
2018/03/14 17:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,33.75
2018/03/14 18:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,28.75
2018/03/14 19:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,26.88
2018/03/14 20:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,27.25
2018/03/14 21:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,26.63
2018/03/14 22:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,22.25
2018/03/14 23:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,21.38
2018/03/15 00:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,22.00
2018/03/15 01:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,21.38
2018/03/15 02:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,20.75
2018/03/15 03:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,21.25
2018/03/15 04:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,21.00
2018/03/15 05:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,20.88
2018/03/15 06:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,20.38
2018/03/15 07:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,21.63
2018/03/15 08:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,24.75
2018/03/15 09:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,32.38
2018/03/15 10:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,34.88
2018/03/15 11:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,37.13
2018/03/15 12:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,33.38
2018/03/15 13:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,35.00
2018/03/15 14:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,38.00
2018/03/15 15:00,北區                  ,工程一館                ,主迴路                 ,教學                  ,37.00
